Size, time(nanoseconds)
10000,98628
20000,82596
30000,44276
40000,24441
50000,20660
60000,19749
70000,20958
80000,19159
90000,23100
100000,31565
110000,20046
120000,19765
130000,18870
140000,23019
150000,22368
160000,20327
170000,19984
180000,20278
190000,20353
200000,20544
210000,20802
220000,20686
230000,20780
240000,20981
250000,25669
260000,26609
270000,22779
280000,22407
290000,21619
300000,21545
310000,21553
320000,21846
330000,21523
340000,21677
350000,21622
360000,22090
370000,28594
380000,21170
390000,24058
400000,21894
410000,21549
420000,21982
430000,21945
440000,21142
450000,28407
460000,22554
470000,21868
480000,22014
490000,22224
